,speaker_id,first_name,last_name,job_title,bio,company_name
24,fc78257a-32d9-4b96-9767-9054bd7a03c5,Gillian,Tans,Chairwoman,"As Booking.com’s chairwoman, Gillian advises the company’s leadership on the long-term vision and operations for the business, as well as on key growth initiatives. Previously, Gillian served as Booking.com’s president and CEO.",Booking.com
25,014b0523-fa40-40b5-83b2-9d2eaae67df9,Vas,Narasimhan,CEO,"Since becoming CEO of Novartis, Vas has led a strategic and cultural transformation in order to build a leading medicines company, globally powered by advanced therapy platforms and data science.",Novartis
26,c723c4fb-5cd8-4ca6-8d87-fb87bcd4e511,Neal,Mohan,Chief Product Officer,"Neal is YouTube's chief product officer, responsible for brand products and user experience on all platforms and devices globally. This includes YouTube’s core mobile applications, YouTube Kids and Music, and YouTube’s subscription service, YouTube Red.",YouTube
27,b2b291d6-a189-41f2-9941-0ba8686e8230,Terrell,Owens,NFL Player & Entrepreneur,"Terrell is a man on a mission. He's an NFL hall of famer, actor, humanitarian, fitness expert, model and motivational speaker. He may be credited as one of the most electrifying players to ever take to the field, but he's not prepared to stop there.",
28,1384bc49-4b09-4d22-8f57-1567e014d6f5,Paris,Hilton,Entrepreneur & DJ,"Paris is one of today’s most recognizable figures, known globally as a businesswoman and entrepreneur. She is a pioneer of reality TV, bringing the then-new genre in American television into the homes of millions as co-star of The Simple Life.",
29,0d665592-6808-4c29-9a07-a8f7d678e835,LL,COOL J,Founder & CEO,"LL COOL J is the founder and CEO of Rock The Bells, a modern media brand that celebrates classic and timeless hip hop through content, commerce and experiences, specifically designed for gen X. Photo: Peter Yang.",Rock The Bells
30,519dc101-b8ca-4395-9b23-599b141d210a,Steve,Aoki,"Founder, DJ & Grammy-nominated Producer","A DJ and two-time Grammy-nominated producer, Steve is the founder of trendsetting record label Dim Mak, which is also an events and lifestyle company, and an apparel line.",
31,aa92a403-da7d-4235-83ac-1bdd96e109ec,Henrietta,Fore,Executive Director,"Henrietta has worked to champion economic development, education, health, humanitarian assistance and disaster relief in a public-service, private-sector and non-profit leadership career that spans more than four decades.",UNICEF
32,34895a3e-c738-4942-a70d-62ac89df08ab,Michael,Harriot,Senior Writer,"Michael is a senior writer at the Root.com, where he covers the intersection of race, politics and culture.",The Root
33,3e35b7a0-2195-4803-ac8f-43ea9a6cd33e,Sheila,North,Former MKO Grand Chief,"Sheila is a former Manitoba Keewatinowi Okimakanak (MKO) grand chief. Creator of the hashtag #MMIW (Murdered & Missing Indigenous Women), she is a mother, survivor/advocate, former journalist, film-maker, and member of Bunibonibee Cree Nation.",Bunibonibee Cree Nation
34,db0beeed-0a42-499f-9839-d453a2929081,Aaron,Levie,Co-founder & CEO,"Aaron is co-founder, chairman and CEO at Box, which he launched in 2005 with CFO and co-founder Dylan Smith. He is the person behind the Box product and platform strategy.",Box
35,a9ed2258-6480-4841-a4a1-d1ab44984127,Lauren,Williams,Editor-in-chief,"Lauren is the editor-in-chief of US news outlet Vox. She joined Vox in its infancy, and became the publication's managing editor and executive editor. Prior to Vox, Lauren was story editor at Mother Jones magazine. ",Vox
36,f4b2436f-d3f4-482a-88cc-59909c0b6fe5,Melissa,Selcher,CMO,"Melissa (Mel) is LinkedIn’s chief marketing and communications officer, leading the team responsible for all of the company’s marketing, communications and social impact work globally.",LinkedIn
37,69bbef26-9f78-419b-9ab7-bfed981602ee,Pedro,Siza Vieira,Minister of Economy,"Portuguese minister of economy and digital transition Pedro Siza Vieira holds a degree in law. He was a managing partner at Linklaters and a partner at LJGT Associates. Pedro specializes in public procurement arbitration, banking, finance and insolvency.",Government of Portugal
38,916d9af3-e94d-4acf-a9ad-165f60e2b849,Jonah,Peretti,Founder ,"Jonah is founder and CEO of BuzzFeed, a cross-platform news and entertainment network. He founded BuzzFeed in 2006 as an experiment in virality. Under Jonah's leadership, BuzzFeed now reaches more than 520 million unique visitors monthly.",BuzzFeed
39,2cb5dd87-015c-47e3-8b51-0be480e3cab7,Huda,Kattan,Founder,"Huda is the founder and CEO of Huda Beauty, and is one of the world's most recognized names in beauty. Founded in 2013, Huda Beauty has expanded into an empire that creates groundbreaking products across skincare, cosmetics and fragrance.",Huda Beauty
40,10a452cb-0f09-4886-8cfb-a1caba27c516,Chetan,Puttagunta,General Partner,"Chetan is a general partner at early-stage VC firm Benchmark. He currently serves on the boards of Elastic (NYSE: ESTC), Pachyderm, Sketch and Duffel. ",Benchmark
41,afe9a681-5118-4765-b034-ef9bd0735d00,Nikolaj,Coster-Waldau,Actor & UNDP Ambassador ,"Nikolaj is a Danish actor best known for his role as Jaime Lannister in HBO’s Game of Thrones. Outside of acting, he is a UNDP Goodwill Ambassador and a passionate advocate for climate action and gender equality.",UNDP
42,83f219bc-5c87-45d8-bb08-8896c562ea86,Rose,Stuckey Kirk,Chief Corporate Social Responsibility Officer,"Rose is chief corporate social responsibility officer at Verizon, and a senior executive on the company's marketing team, overseeing the direction of social impact marketing. She is also president of the Verizon Foundation. ",Verizon
43,09fdfc25-93b9-44e4-9b66-776ff3767f51,Dan,Doctoroff,CEO,"Daniel is chairman and CEO of Sidewalk Labs. The Alphabet company is seeking to develop a new district within Toronto that would serve as the global model for a 21st-century city, integrating great urban design with cutting-edge technology.",Sidewalk Labs
44,972fc61c-381a-4295-b868-1b86af9d9f6f,Laurent,Duvernay-Tardif,Super Bowl Winner,"Kansas City Chiefs offensive lineman and Super Bowl champion Laurent Duvernay-Tardif is the first ever medical school graduate to play in the NFL. He'll discuss how he has been able to balance med school and football, while starting his LDT Foundation.",Kansas City Chiefs
45,fb64196c-3214-423e-9eea-148224925eac,Shay,Mitchell,Founder & Chief Brand Officer,"Shay is an entrepreneur, influencer and actress. She founded travel accessories line BÉIS in 2018, and is also a successful actress, having appeared in shows such as Pretty Little Liars, You and Dollface.",BÉIS 
46,bb19968d-0e7b-4ad6-a373-983e30257beb,Tom,Taylor,SVP & Head of Alexa,"Tom oversees more than 10,000 engineers, scientists, and product-, business-, operations- and salespeople, bringing customers to Alexa, the cloud-based voice service to tens of millions of devices from Amazon and third-party device manufacturers.",Amazon
47,6290e65e-413e-4a50-93cd-8139cdb55d90,Hilary,Coles,Co-founder,"Hilary  is the co-founder and VP of product at Hims and Hers, men’s and women’s wellness brands that provide access to medical-grade products and preventative solutions via telemedicine. ",Hims & Hers
48,238b7a12-78a5-4c3d-94d3-b03e59b49409,Max,Levchin,Founder & CEO,"Max is the founder and CEO of Affirm, a financial services technology company. He is also the co-founder and chairman of data-driven fertility company Glow, and co-founder and general partner at private venture capital firm SciFi VC.",Affirm
49,885adac4-a460-4770-87d9-517a9119ab25,Marc,Raibert,Founder & CEO,"Marc Raibert is founder and CEO of Boston Dynamics, a company that creates some of the world’s most advanced dynamic robots, such as BigDog, Atlas, Spot and Handle.  ",Boston Dynamics
